condition,feature_set,model,n_train,n_eval,n_features,precision,recall,f1,fpr,roc_auc,pr_auc,tp,fp,fn,tn,train_seconds,score_seconds_per_1k
acrosstime,A,GradientBoosting,100000,50000,73,0.3564,0.7377,0.4806,0.311,0.7952,0.5001,6982,12608,2482,27928,3.54,0.0023
acrosstime,B,GradientBoosting,100000,50000,102,0.3557,0.7333,0.4791,0.3101,0.7981,0.5031,6940,12570,2524,27966,4.67,0.0024
acrosstime,A,RandomForest,100000,50000,73,0.391,0.5892,0.4701,0.2142,0.7835,0.4821,5576,8684,3888,31852,4.88,0.0073
acrosstime,B,RandomForest,100000,50000,102,0.3921,0.6063,0.4762,0.2194,0.7891,0.4905,5738,8895,3726,31641,5.9,0.0073
crossorg,A,GradientBoosting,100000,50000,73,0.4041,0.7864,0.5338,0.3689,0.7618,0.4369,9488,13993,2577,23942,3.55,0.0023
crossorg,B,GradientBoosting,100000,50000,102,0.398,0.7862,0.5284,0.3783,0.76,0.4357,9486,14351,2579,23584,4.72,0.0023
crossorg,A,RandomForest,100000,50000,73,0.4167,0.6317,0.5021,0.2812,0.7495,0.4294,7621,10668,4444,27267,4.96,0.0087
crossorg,B,RandomForest,100000,50000,102,0.4181,0.6276,0.5019,0.2778,0.7525,0.4338,7572,10539,4493,27396,6.06,0.0087
standard,A,GradientBoosting,99999,50000,73,0.3866,0.7848,0.518,0.3236,0.8119,0.5586,8094,12843,2220,26843,3.57,0.0023
standard,B,GradientBoosting,99999,50000,102,0.3886,0.782,0.5192,0.3197,0.8147,0.5627,8066,12689,2248,26997,4.61,0.0023
standard,A,RandomForest,99999,50000,73,0.4289,0.6312,0.5107,0.2184,0.7999,0.533,6510,8669,3804,31017,4.24,0.0091
standard,B,RandomForest,99999,50000,102,0.4343,0.632,0.5148,0.214,0.8053,0.5437,6518,8491,3796,31195,4.98,0.0092
