feature,perm_importance,rank
enti_CloudLogonSession,0.086439,1
enti_Mailbox,0.025643,2
cate_CommandAndControl,0.022116,3
cate_Exfiltration,0.021315,4
duration_hours,0.016949,5
enti_Process,0.016348,6
enti_Machine,0.015624,7
susp_na,0.013058,8
cate_SuspiciousActivity,0.013033,9
enti_User,0.012376,10
evid_Impacted,0.010906,11
enti_MailMessage,0.009088,12
enti_File,0.00899,13
enti_CloudLogonRequest,0.006568,14
first_alert_dayofweek,0.005953,15
group_use_max,0.005823,16
cate_Execution,0.005731,17
evid_Related,0.005479,18
technique_age_min_days,0.005239,19
ta_credential_access,0.00523,20
cate_InitialAccess,0.004954,21
enti_CloudApplication,0.004857,22
enti_Ip,0.004698,23
n_files,0.00463,24
group_use_mean,0.004297,25
enti_Url,0.003382,26
cate_Ransomware,0.002419,27
cate_CredentialAccess,0.002104,28
cate_UnwantedSoftware,0.002066,29
susp_Incriminated,0.002005,30
enti_GenericEntity,0.001857,31
software_use_max,0.001853,32
n_accountsids,0.001827,33
enti_RegistryValue,0.001728,34
technique_age_mean_days,0.001636,35
ta_discovery,0.001425,36
enti_Malware,0.001281,37
n_techniques,0.001178,38
ta_initial_access,0.001064,39
evidence_per_alert,0.000901,40
cate_Persistence,0.000678,41
n_detectors,0.000415,42
ta_collection,0.000311,43
share_subtechniques,0.000311,44
n_ips,0.000235,45
n_categories,0.000207,46
n_alerts,0.000181,47
n_os_families,0.000104,48
n_roles,0.000104,49
ta_impact,5.5e-05,50
enti_IoTDevice,0.0,51
cate_Weaponization,0.0,52
n_devices,0.0,53
ta_defense_evasion,0.0,54
ta_persistence,0.0,55
ta_execution,0.0,56
ta_resource_development,0.0,57
n_countries,0.0,58
kill_chain_breadth,0.0,59
cate_Collection,0.0,60
enti_GoogleCloudResource,0.0,61
is_weekend,0.0,62
cate_CredentialStealing,0.0,63
enti_Blob,0.0,64
cate_WebExploit,0.0,65
enti_Nic,0.0,66
enti_ActiveDirectoryDomain,0.0,67
enti_MailboxConfiguration,0.0,68
enti_SecurityGroup,0.0,69
enti_OAuthApplication,0.0,70
enti_AmazonResource,0.0,71
enti_BlobContainer,0.0,72
n_accountnames,-5e-05,73
ta_command_and_control,-7.6e-05,74
cate_Impact,-0.000104,75
enti_AzureResource,-0.000153,76
has_ti,-0.00018,77
cate_Discovery,-0.000207,78
cate_Exploit,-0.000208,79
cate_PrivilegeEscalation,-0.000208,80
n_tactics,-0.000209,81
ti_alert_coverage,-0.000311,82
ta_privilege_escalation,-0.000416,83
cate_LateralMovement,-0.000416,84
ta_lateral_movement,-0.000416,85
n_entity_types,-0.000438,86
ta_reconnaissance,-0.000519,87
software_use_mean,-0.000542,88
n_subtechniques,-0.000569,89
n_urls,-0.000624,90
ta_exfiltration,-0.000728,91
n_evidence,-0.00078,92
cate_DefenseEvasion,-0.000936,93
days_since_modified_min,-0.000936,94
enti_RegistryKey,-0.001015,95
susp_Suspicious,-0.001141,96
first_alert_hour,-0.001572,97
n_apps,-0.001929,98
enti_MailCluster,-0.002573,99
cate_Malware,-0.003369,100
n_sha256,-0.003563,101
mitigations_mean,-0.005194,102
