feature,perm_importance,rank
enti_CloudApplication,0.082609,1
enti_CloudLogonSession,0.06186,2
cate_Exfiltration,0.042592,3
enti_Url,0.034167,4
enti_CloudLogonRequest,0.025355,5
susp_na,0.020263,6
cate_InitialAccess,0.0193,7
n_evidence,0.01458,8
first_alert_dayofweek,0.014024,9
cate_CommandAndControl,0.011998,10
enti_MailMessage,0.011692,11
enti_User,0.011496,12
duration_hours,0.009991,13
evidence_per_alert,0.006305,14
cate_CredentialAccess,0.005843,15
enti_Process,0.0056,16
evid_Impacted,0.004824,17
cate_Execution,0.004726,18
n_alerts,0.004603,19
enti_File,0.004395,20
enti_Machine,0.003825,21
n_entity_types,0.003248,22
technique_age_mean_days,0.002805,23
cate_SuspiciousActivity,0.002393,24
enti_GenericEntity,0.002351,25
ta_initial_access,0.001997,26
enti_AzureResource,0.001763,27
cate_LateralMovement,0.001753,28
enti_Malware,0.001657,29
n_techniques,0.001571,30
ta_exfiltration,0.001343,31
n_devices,0.001219,32
cate_Impact,0.001104,33
cate_Discovery,0.000978,34
cate_Malware,0.000828,35
n_sha256,0.000828,36
has_ti,0.000809,37
n_roles,0.000798,38
enti_Mailbox,0.000768,39
share_subtechniques,0.000754,40
n_os_families,0.000668,41
cate_DefenseEvasion,0.000648,42
n_accountnames,0.000562,43
enti_OAuthApplication,0.000552,44
cate_Persistence,0.000542,45
n_urls,0.000521,46
n_subtechniques,0.000276,47
n_detectors,0.000191,48
n_countries,9.5e-05,49
ta_persistence,9e-06,50
is_weekend,0.0,51
ta_execution,0.0,52
ta_defense_evasion,0.0,53
ta_resource_development,0.0,54
ta_lateral_movement,0.0,55
susp_Incriminated,0.0,56
ta_reconnaissance,0.0,57
kill_chain_breadth,0.0,58
cate_CredentialStealing,0.0,59
enti_SecurityGroup,0.0,60
enti_RegistryValue,0.0,61
cate_PrivilegeEscalation,0.0,62
cate_WebExploit,0.0,63
enti_RegistryKey,0.0,64
cate_Weaponization,0.0,65
cate_UnwantedSoftware,0.0,66
enti_AmazonResource,0.0,67
enti_Blob,0.0,68
enti_BlobContainer,0.0,69
enti_GoogleCloudResource,0.0,70
enti_IoTDevice,0.0,71
enti_ActiveDirectoryDomain,0.0,72
cate_Exploit,0.0,73
enti_MailboxConfiguration,0.0,74
enti_Nic,0.0,75
ta_discovery,-2.1e-05,76
ta_privilege_escalation,-9.6e-05,77
n_categories,-9.6e-05,78
n_apps,-9.6e-05,79
n_files,-0.000104,80
technique_age_min_days,-0.00026,81
ta_credential_access,-0.000276,82
n_tactics,-0.000287,83
cate_Ransomware,-0.000382,84
software_use_max,-0.000419,85
enti_Ip,-0.00044,86
ta_impact,-0.000478,87
cate_Collection,-0.000478,88
susp_Suspicious,-0.000533,89
ta_collection,-0.000765,90
software_use_mean,-0.00089,91
days_since_modified_min,-0.000919,92
n_ips,-0.001364,93
n_accountsids,-0.001375,94
enti_MailCluster,-0.001451,95
group_use_mean,-0.001774,96
group_use_max,-0.002222,97
first_alert_hour,-0.002537,98
evid_Related,-0.002973,99
ta_command_and_control,-0.003062,100
mitigations_mean,-0.003688,101
ti_alert_coverage,-0.005055,102
