feature,perm_importance,rank
enti_CloudLogonSession,0.074814,1
enti_Machine,0.042177,2
cate_InitialAccess,0.031459,3
cate_SuspiciousActivity,0.027861,4
cate_Exfiltration,0.026171,5
susp_na,0.018922,6
evid_Related,0.017675,7
cate_CommandAndControl,0.017469,8
enti_CloudApplication,0.016751,9
enti_Mailbox,0.013551,10
enti_Process,0.013484,11
enti_User,0.01293,12
enti_File,0.012858,13
evid_Impacted,0.012186,14
duration_hours,0.011641,15
first_alert_dayofweek,0.011561,16
first_alert_hour,0.010226,17
enti_Ip,0.010213,18
enti_Url,0.009131,19
enti_MailCluster,0.008731,20
enti_MailMessage,0.007489,21
evidence_per_alert,0.007119,22
enti_CloudLogonRequest,0.007018,23
group_use_mean,0.006623,24
n_sha256,0.005149,25
n_evidence,0.004426,26
enti_Malware,0.004104,27
susp_Suspicious,0.003742,28
n_urls,0.003088,29
n_alerts,0.003027,30
group_use_max,0.00301,31
n_accountnames,0.002512,32
n_files,0.002494,33
cate_CredentialAccess,0.002151,34
ti_alert_coverage,0.002086,35
n_devices,0.00207,36
mitigations_mean,0.001868,37
software_use_max,0.001821,38
enti_GenericEntity,0.001804,39
share_subtechniques,0.001762,40
ta_initial_access,0.001651,41
technique_age_mean_days,0.001602,42
n_entity_types,0.001462,43
technique_age_min_days,0.001445,44
cate_Discovery,0.001126,45
cate_DefenseEvasion,0.000831,46
cate_Impact,0.000796,47
cate_UnwantedSoftware,0.000677,48
cate_Collection,0.00064,49
cate_Execution,0.000575,50
n_os_families,0.000562,51
n_categories,0.000562,52
cate_Malware,0.00049,53
ta_command_and_control,0.000416,54
software_use_mean,0.00034,55
has_ti,0.000303,56
n_subtechniques,0.000263,57
cate_Ransomware,0.000112,58
ta_execution,0.000112,59
days_since_modified_min,0.000112,60
enti_BlobContainer,7.5e-05,61
cate_Persistence,2e-06,62
n_tactics,-0.0,63
ta_reconnaissance,0.0,64
kill_chain_breadth,0.0,65
ta_privilege_escalation,0.0,66
ta_defense_evasion,0.0,67
ta_resource_development,0.0,68
is_weekend,0.0,69
ta_persistence,0.0,70
cate_WebExploit,0.0,71
enti_ActiveDirectoryDomain,0.0,72
enti_MailboxConfiguration,0.0,73
enti_AmazonResource,0.0,74
enti_Blob,0.0,75
cate_Exploit,0.0,76
enti_GoogleCloudResource,0.0,77
enti_IoTDevice,0.0,78
cate_CredentialStealing,0.0,79
cate_Weaponization,0.0,80
enti_Nic,0.0,81
enti_OAuthApplication,0.0,82
enti_SecurityGroup,0.0,83
n_countries,0.0,84
susp_Incriminated,0.0,85
ta_credential_access,0.0,86
ta_exfiltration,-3.7e-05,87
n_apps,-0.000113,88
ta_impact,-0.000187,89
ta_lateral_movement,-0.000225,90
cate_PrivilegeEscalation,-0.000225,91
n_detectors,-0.000225,92
cate_LateralMovement,-0.000225,93
ta_collection,-0.000563,94
n_roles,-0.000825,95
enti_RegistryKey,-0.000901,96
enti_RegistryValue,-0.000939,97
ta_discovery,-0.001358,98
n_techniques,-0.001433,99
n_accountsids,-0.001511,100
enti_AzureResource,-0.001613,101
n_ips,-0.003104,102
