feature,mean_abs_shap,rank
cate_Exfiltration,0.40745,1
enti_CloudLogonSession,0.202856,2
enti_Machine,0.125867,3
cate_SuspiciousActivity,0.106604,4
enti_Process,0.103938,5
n_evidence,0.102613,6
enti_CloudLogonRequest,0.10227,7
enti_File,0.099555,8
evid_Related,0.092412,9
first_alert_dayofweek,0.080563,10
mitigations_mean,0.077694,11
cate_Execution,0.075443,12
cate_CommandAndControl,0.072916,13
susp_na,0.068113,14
first_alert_hour,0.066666,15
enti_MailMessage,0.065867,16
technique_age_mean_days,0.059425,17
cate_InitialAccess,0.058761,18
technique_age_min_days,0.052989,19
enti_User,0.052746,20
evid_Impacted,0.052665,21
enti_Mailbox,0.051,22
enti_Url,0.041269,23
susp_Suspicious,0.036949,24
duration_hours,0.033324,25
enti_CloudApplication,0.033002,26
group_use_mean,0.031799,27
software_use_mean,0.028719,28
enti_MailCluster,0.028098,29
software_use_max,0.027396,30
cate_CredentialAccess,0.024263,31
ta_impact,0.023944,32
ta_command_and_control,0.023064,33
group_use_max,0.021223,34
enti_Ip,0.020805,35
ta_discovery,0.019479,36
n_alerts,0.018538,37
ti_alert_coverage,0.018032,38
evidence_per_alert,0.017499,39
ta_credential_access,0.015868,40
n_entity_types,0.014072,41
cate_Discovery,0.013831,42
cate_Malware,0.011879,43
n_techniques,0.010901,44
cate_Persistence,0.010594,45
n_files,0.010577,46
share_subtechniques,0.009607,47
n_sha256,0.008842,48
enti_RegistryValue,0.008784,49
n_accountsids,0.008237,50
ta_initial_access,0.007969,51
ta_exfiltration,0.007115,52
n_apps,0.006567,53
cate_UnwantedSoftware,0.006457,54
cate_Impact,0.006028,55
cate_Collection,0.005966,56
n_subtechniques,0.005767,57
n_accountnames,0.00537,58
has_ti,0.004587,59
n_detectors,0.004269,60
days_since_modified_min,0.003807,61
enti_RegistryKey,0.003756,62
n_urls,0.003755,63
cate_LateralMovement,0.003614,64
enti_GenericEntity,0.003537,65
n_tactics,0.003177,66
n_ips,0.003041,67
ta_collection,0.003024,68
cate_PrivilegeEscalation,0.002983,69
n_devices,0.002105,70
enti_Malware,0.002071,71
n_os_families,0.002045,72
enti_AzureResource,0.002028,73
ta_reconnaissance,0.001997,74
cate_DefenseEvasion,0.001872,75
ta_lateral_movement,0.00176,76
cate_Ransomware,0.001357,77
n_categories,0.00113,78
ta_privilege_escalation,0.001082,79
susp_Incriminated,0.001008,80
enti_OAuthApplication,0.001,81
ta_execution,0.000568,82
n_countries,0.000376,83
n_roles,0.000332,84
ta_persistence,0.000235,85
cate_Exploit,0.000199,86
ta_resource_development,0.000113,87
ta_defense_evasion,0.0,88
cate_WebExploit,0.0,89
enti_BlobContainer,0.0,90
enti_Blob,0.0,91
cate_Weaponization,0.0,92
enti_GoogleCloudResource,0.0,93
enti_IoTDevice,0.0,94
enti_MailboxConfiguration,0.0,95
enti_Nic,0.0,96
enti_SecurityGroup,0.0,97
kill_chain_breadth,0.0,98
cate_CredentialStealing,0.0,99
enti_ActiveDirectoryDomain,0.0,100
is_weekend,0.0,101
enti_AmazonResource,0.0,102
