feature,mean_abs_shap,rank
cate_Exfiltration,0.279082,1
enti_CloudLogonSession,0.241043,2
cate_InitialAccess,0.187052,3
enti_CloudApplication,0.161497,4
enti_CloudLogonRequest,0.121881,5
evid_Related,0.117568,6
first_alert_dayofweek,0.114684,7
susp_na,0.101738,8
enti_Process,0.097405,9
enti_File,0.094391,10
n_evidence,0.077733,11
enti_Machine,0.073225,12
first_alert_hour,0.064954,13
enti_Url,0.058539,14
evid_Impacted,0.058234,15
cate_CommandAndControl,0.056012,16
cate_SuspiciousActivity,0.054599,17
enti_User,0.04342,18
enti_Mailbox,0.037703,19
enti_MailMessage,0.036331,20
mitigations_mean,0.034799,21
cate_CredentialAccess,0.03454,22
technique_age_min_days,0.031699,23
software_use_max,0.030807,24
technique_age_mean_days,0.029672,25
enti_Ip,0.028563,26
duration_hours,0.026132,27
evidence_per_alert,0.023043,28
cate_Discovery,0.022868,29
susp_Suspicious,0.022829,30
software_use_mean,0.021793,31
cate_Execution,0.021423,32
n_alerts,0.020397,33
ta_discovery,0.018349,34
n_sha256,0.015756,35
group_use_max,0.015541,36
n_tactics,0.015541,37
ta_impact,0.014332,38
ti_alert_coverage,0.014015,39
n_techniques,0.013778,40
group_use_mean,0.013471,41
cate_Persistence,0.012547,42
cate_Malware,0.010002,43
cate_Impact,0.009815,44
n_entity_types,0.00911,45
enti_MailCluster,0.008853,46
ta_initial_access,0.00813,47
n_files,0.008073,48
n_ips,0.007834,49
ta_persistence,0.006858,50
days_since_modified_min,0.006636,51
has_ti,0.005957,52
share_subtechniques,0.00556,53
ta_command_and_control,0.005245,54
cate_Collection,0.005205,55
ta_exfiltration,0.004599,56
enti_GenericEntity,0.004094,57
cate_DefenseEvasion,0.004023,58
enti_AzureResource,0.00401,59
n_subtechniques,0.003921,60
cate_UnwantedSoftware,0.003705,61
n_roles,0.003565,62
n_detectors,0.003287,63
cate_LateralMovement,0.003133,64
n_urls,0.002796,65
n_accountsids,0.00271,66
enti_RegistryKey,0.002315,67
cate_PrivilegeEscalation,0.002143,68
enti_Malware,0.00206,69
n_accountnames,0.002047,70
ta_collection,0.002035,71
n_countries,0.001892,72
cate_Ransomware,0.001801,73
n_devices,0.001779,74
enti_SecurityGroup,0.001669,75
enti_BlobContainer,0.001548,76
n_os_families,0.001339,77
ta_credential_access,0.001104,78
enti_OAuthApplication,0.001046,79
n_apps,0.001011,80
ta_reconnaissance,0.000904,81
n_categories,0.00081,82
ta_execution,0.000242,83
cate_Exploit,0.000229,84
ta_lateral_movement,0.000212,85
enti_MailboxConfiguration,0.000187,86
ta_privilege_escalation,0.000183,87
enti_AmazonResource,0.0,88
enti_ActiveDirectoryDomain,0.0,89
cate_WebExploit,0.0,90
cate_Weaponization,0.0,91
ta_defense_evasion,0.0,92
enti_IoTDevice,0.0,93
is_weekend,0.0,94
ta_resource_development,0.0,95
enti_Nic,0.0,96
enti_RegistryValue,0.0,97
cate_CredentialStealing,0.0,98
susp_Incriminated,0.0,99
kill_chain_breadth,0.0,100
enti_GoogleCloudResource,0.0,101
enti_Blob,0.0,102
