feature,mean_abs_shap,rank
cate_Exfiltration,0.421115,1
enti_CloudLogonSession,0.221349,2
enti_Machine,0.181734,3
cate_InitialAccess,0.139724,4
cate_SuspiciousActivity,0.127195,5
evid_Impacted,0.10433,6
enti_File,0.092933,7
first_alert_dayofweek,0.088832,8
evid_Related,0.088507,9
enti_MailMessage,0.086932,10
enti_Process,0.077304,11
susp_na,0.07052,12
first_alert_hour,0.068547,13
n_evidence,0.068162,14
enti_Url,0.067142,15
mitigations_mean,0.060278,16
susp_Suspicious,0.05981,17
enti_User,0.059178,18
cate_CommandAndControl,0.057916,19
technique_age_min_days,0.051808,20
cate_Execution,0.046755,21
enti_Mailbox,0.045084,22
enti_Ip,0.044417,23
enti_CloudApplication,0.042543,24
enti_CloudLogonRequest,0.038056,25
technique_age_mean_days,0.032772,26
cate_CredentialAccess,0.02871,27
duration_hours,0.027381,28
software_use_mean,0.023187,29
share_subtechniques,0.022636,30
n_accountsids,0.021514,31
n_alerts,0.020602,32
software_use_max,0.020515,33
group_use_mean,0.020364,34
evidence_per_alert,0.019954,35
n_techniques,0.019843,36
ta_discovery,0.01838,37
enti_MailCluster,0.017732,38
n_sha256,0.016532,39
n_tactics,0.014022,40
n_accountnames,0.013861,41
ta_impact,0.013739,42
group_use_max,0.01364,43
cate_Persistence,0.013168,44
cate_Malware,0.011995,45
cate_Discovery,0.011467,46
n_files,0.010657,47
ta_command_and_control,0.010165,48
cate_Impact,0.009911,49
n_subtechniques,0.009058,50
ti_alert_coverage,0.008267,51
cate_UnwantedSoftware,0.007914,52
cate_DefenseEvasion,0.00787,53
enti_RegistryValue,0.007261,54
n_devices,0.007144,55
cate_Collection,0.006646,56
n_urls,0.005657,57
has_ti,0.005515,58
n_entity_types,0.005236,59
n_os_families,0.004881,60
n_ips,0.004739,61
n_roles,0.003741,62
ta_credential_access,0.003553,63
enti_Malware,0.003153,64
ta_initial_access,0.003061,65
cate_PrivilegeEscalation,0.003046,66
n_detectors,0.002881,67
cate_LateralMovement,0.002706,68
ta_exfiltration,0.002583,69
enti_RegistryKey,0.002552,70
days_since_modified_min,0.002084,71
n_apps,0.001969,72
enti_GenericEntity,0.001939,73
ta_collection,0.001667,74
enti_BlobContainer,0.001612,75
enti_AzureResource,0.001281,76
ta_lateral_movement,0.001217,77
ta_persistence,0.00092,78
cate_Ransomware,0.000868,79
n_countries,0.00069,80
ta_reconnaissance,0.000681,81
enti_SecurityGroup,0.000584,82
n_categories,0.000541,83
enti_OAuthApplication,0.000466,84
ta_execution,0.000343,85
cate_Exploit,0.00024,86
susp_Incriminated,0.000164,87
ta_resource_development,0.000129,88
ta_privilege_escalation,9.9e-05,89
enti_ActiveDirectoryDomain,0.0,90
enti_Nic,0.0,91
cate_CredentialStealing,0.0,92
cate_WebExploit,0.0,93
ta_defense_evasion,0.0,94
cate_Weaponization,0.0,95
enti_MailboxConfiguration,0.0,96
kill_chain_breadth,0.0,97
enti_GoogleCloudResource,0.0,98
enti_Blob,0.0,99
enti_IoTDevice,0.0,100
is_weekend,0.0,101
enti_AmazonResource,0.0,102
