condition,model,feature_set,subgroup,n,precision,recall,f1,fpr
standard,RandomForest,A,has_technique,17599,0.4168,0.5419,0.4712,0.17
standard,RandomForest,B,has_technique,17599,0.4313,0.5462,0.482,0.1615
standard,GradientBoosting,A,has_technique,17599,0.3531,0.8043,0.4907,0.3305
standard,GradientBoosting,B,has_technique,17599,0.3629,0.7947,0.4983,0.3128
crossorg,RandomForest,A,has_technique,14581,0.3408,0.4515,0.3884,0.2006
crossorg,RandomForest,B,has_technique,14581,0.3497,0.4141,0.3792,0.1769
crossorg,GradientBoosting,A,has_technique,14581,0.3644,0.8201,0.5046,0.3286
crossorg,GradientBoosting,B,has_technique,14581,0.349,0.812,0.4882,0.348
acrosstime,RandomForest,A,has_technique,18417,0.3537,0.4629,0.401,0.1595
acrosstime,RandomForest,B,has_technique,18417,0.3659,0.4663,0.41,0.1524
acrosstime,GradientBoosting,A,has_technique,18417,0.3143,0.7629,0.4452,0.314
acrosstime,GradientBoosting,B,has_technique,18417,0.3179,0.7465,0.4459,0.3022
